                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 1.2504,                0.89021,                  1.179,                0.76015,                0.69738,                0.76089,                0.51639,                 1.0828,                 0.7308,                 1.1151,              0.0092179,              0.0092179,              0.0092179
                     81,                 1.2731,                0.89988,                  1.189,                0.79793,                0.67988,                0.75987,                0.50463,                 1.0858,                0.74294,                 1.1208,               0.009208,               0.009208,               0.009208
                     82,                 1.2499,                0.88504,                 1.1809,                0.84664,                0.67053,                0.76524,                0.51058,                 1.0902,                0.75037,                 1.1188,              0.0091981,              0.0091981,              0.0091981
                     83,                 1.2475,                0.88597,                 1.1835,                0.84378,                0.68243,                0.77648,                0.51637,                 1.0825,                0.72039,                 1.1181,              0.0091882,              0.0091882,              0.0091882
                     84,                 1.2406,                 0.8811,                 1.1822,                0.80579,                0.69273,                 0.7685,                0.50246,                 1.0951,                0.73755,                  1.124,              0.0091783,              0.0091783,              0.0091783
                     85,                 1.2349,                0.87165,                 1.1739,                 0.7509,                0.70142,                0.75825,                0.50776,                 1.0885,                0.73875,                  1.117,              0.0091684,              0.0091684,              0.0091684
                     86,                 1.2381,                0.87025,                 1.1718,                0.87115,                0.68086,                0.78052,                0.52453,                 1.0765,                0.72276,                 1.1109,              0.0091585,              0.0091585,              0.0091585
                     87,                 1.2413,                0.86785,                 1.1783,                0.76253,                0.71849,                 0.7745,                0.51919,                  1.071,                0.71671,                 1.1095,              0.0091486,              0.0091486,              0.0091486
                     88,                 1.2383,                0.88376,                 1.1781,                0.77452,                0.71593,                0.78117,                0.53076,                 1.0636,                0.70928,                 1.1043,              0.0091387,              0.0091387,              0.0091387
                     89,                 1.2359,                0.86469,                 1.1617,                0.81201,                0.70388,                0.77916,                0.52637,                 1.0673,                0.71098,                  1.105,              0.0091288,              0.0091288,              0.0091288
                     90,                 1.2327,                0.86673,                 1.1695,                0.81791,                0.68751,                0.77454,                0.52942,                 1.0602,                0.71502,                 1.1041,              0.0091189,              0.0091189,              0.0091189
                     91,                 1.2331,                0.86491,                 1.1688,                0.81626,                0.70607,                0.78301,                0.53507,                 1.0533,                0.70412,                 1.0978,               0.009109,               0.009109,               0.009109
                     92,                 1.2292,                0.86098,                 1.1611,                0.83511,                 0.6832,                0.78215,                0.53504,                 1.0616,                0.71271,                 1.1048,              0.0090991,              0.0090991,              0.0090991
                     93,                 1.2162,                0.85749,                 1.1598,                0.76129,                0.71834,                0.78102,                0.53373,                 1.0574,                0.70813,                    1.1,              0.0090892,              0.0090892,              0.0090892
                     94,                 1.2011,                0.84966,                 1.1694,                0.77367,                0.72632,                0.78763,                0.53029,                 1.0622,                0.70212,                 1.1014,              0.0090793,              0.0090793,              0.0090793
                     95,                 1.2226,                0.85601,                 1.1667,                0.80436,                0.71729,                0.79102,                0.54013,                 1.0508,                0.69785,                 1.0941,              0.0090694,              0.0090694,              0.0090694
                     96,                 1.2217,                0.84669,                  1.162,                0.76973,                0.72014,                0.78187,                0.53337,                 1.0392,                0.69553,                  1.096,              0.0090595,              0.0090595,              0.0090595
                     97,                 1.2009,                0.83891,                  1.153,                0.78816,                0.72648,                0.79054,                0.54655,                 1.0435,                0.69366,                 1.0947,              0.0090496,              0.0090496,              0.0090496
                     98,                 1.2039,                0.84251,                 1.1551,                0.78631,                0.72972,                0.78702,                0.54008,                 1.0367,                0.68896,                 1.0862,              0.0090397,              0.0090397,              0.0090397
                     99,                 1.1987,                0.83622,                 1.1485,                0.80505,                0.72132,                0.78376,                0.54037,                 1.0336,                0.68631,                  1.085,              0.0090298,              0.0090298,              0.0090298
                    100,                 1.1896,                 0.8265,                 1.1431,                0.80841,                0.71402,                0.79042,                0.54522,                 1.0282,                0.68644,                 1.0853,              0.0090199,              0.0090199,              0.0090199
                    101,                 1.2048,                0.83984,                 1.1508,                0.77395,                 0.7271,                0.79186,                0.54468,                 1.0298,                0.68391,                 1.0819,                0.00901,                0.00901,                0.00901
                    102,                 1.2083,                 0.8348,                 1.1474,                0.79213,                0.73441,                0.78964,                0.55291,                 1.0247,                  0.691,                 1.0832,              0.0090001,              0.0090001,              0.0090001
                    103,                  1.203,                0.82857,                   1.15,                0.82024,                0.71392,                0.79129,                0.55077,                 1.0135,                0.67847,                 1.0754,              0.0089902,              0.0089902,              0.0089902
                    104,                 1.2045,                0.83611,                 1.1481,                0.79897,                0.74821,                0.79328,                0.54804,                 1.0177,                0.67491,                 1.0772,              0.0089803,              0.0089803,              0.0089803
                    105,                 1.1742,                0.81679,                 1.1399,                0.79831,                0.72524,                0.79665,                0.55139,                 1.0216,                0.67545,                 1.0802,              0.0089704,              0.0089704,              0.0089704
                    106,                 1.1949,                0.82434,                 1.1533,                0.83769,                0.72797,                0.80124,                0.56084,                 1.0154,                0.66725,                 1.0808,              0.0089605,              0.0089605,              0.0089605
                    107,                 1.1761,                0.80956,                 1.1424,                0.82891,                0.73095,                0.80587,                0.56602,                 1.0016,                0.65988,                 1.0718,              0.0089506,              0.0089506,              0.0089506
                    108,                 1.1862,                0.81972,                 1.1448,                0.77513,                0.75214,                0.79664,                0.55772,                 1.0095,                0.66663,                 1.0736,              0.0089407,              0.0089407,              0.0089407
